period,year,quarter,zip,city,county,Electric,Hydrogen,PHEV,total
2009-Q4,2009,4,90250,,,1,0,0,1
2009-Q4,2009,4,90265,,,3,0,0,3
2009-Q4,2009,4,90266,,,2,0,0,2
2009-Q4,2009,4,90272,,,1,0,0,1
2009-Q4,2009,4,90402,,,1,0,0,1
2009-Q4,2009,4,90404,,,1,0,0,1
2009-Q4,2009,4,90650,,,2,0,0,2
2009-Q4,2009,4,90814,,,1,0,0,1
2009-Q4,2009,4,91030,,,2,0,0,2
2009-Q4,2009,4,91101,,,7,0,0,7
2009-Q4,2009,4,91105,,,1,0,0,1
2009-Q4,2009,4,91108,,,1,0,0,1
2009-Q4,2009,4,91311,,,1,0,0,1
2009-Q4,2009,4,91367,,,1,0,0,1
2009-Q4,2009,4,91702,,,2,0,0,2
2009-Q4,2009,4,91741,,,2,0,0,2
2009-Q4,2009,4,91765,,,7,0,0,7
2009-Q4,2009,4,91766,,,2,0,0,2
2009-Q4,2009,4,91790,,,2,0,0,2
2009-Q4,2009,4,92067,,,1,0,0,1
2009-Q4,2009,4,92091,,,1,0,0,1
2009-Q4,2009,4,92660,,,1,0,0,1
2009-Q4,2009,4,94022,,,1,0,0,1
2009-Q4,2009,4,94024,,,1,0,0,1
2009-Q4,2009,4,94123,,,1,0,0,1
2009-Q4,2009,4,94130,,,1,0,0,1
2009-Q4,2009,4,94306,,,1,0,0,1
2009-Q4,2009,4,94563,,,1,0,0,1
2009-Q4,2009,4,95357,,,1,0,0,1
2010-Q1,2010,1,90069,,,1,0,0,1
2010-Q1,2010,1,90210,,,1,0,0,1
2010-Q1,2010,1,90266,,,1,0,0,1
2010-Q1,2010,1,90275,,,1,0,0,1
2010-Q1,2010,1,90509,,,0,0,29,29
2010-Q1,2010,1,91364,,,1,0,0,1
2010-Q1,2010,1,92651,,,1,0,0,1
2010-Q1,2010,1,92679,,,1,0,0,1
2010-Q1,2010,1,94022,,,2,0,0,2
2010-Q1,2010,1,94027,,,1,0,0,1
2010-Q1,2010,1,94086,,,1,0,0,1
2010-Q1,2010,1,94306,,,1,0,0,1
2010-Q1,2010,1,95077,,,1,0,0,1
2010-Q1,2010,1,95831,,,1,0,0,1
2010-Q2,2010,2,90248,,,1,0,0,1
2010-Q2,2010,2,90272,,,0,1,0,1
2010-Q2,2010,2,90292,,,1,0,0,1
2010-Q2,2010,2,90402,,,1,0,0,1
2010-Q2,2010,2,90501,,,0,0,118,118
2010-Q2,2010,2,90509,,,0,0,4,4
2010-Q2,2010,2,90703,,,1,0,0,1
2010-Q2,2010,2,91326,,,1,0,0,1
2010-Q2,2010,2,91360,,,1,0,0,1
2010-Q2,2010,2,92014,,,1,0,0,1
2010-Q2,2010,2,92101,,,1,0,0,1
2010-Q2,2010,2,92270,,,1,0,0,1
2010-Q2,2010,2,94002,,,1,0,0,1
2010-Q2,2010,2,94022,,,1,0,0,1
2010-Q2,2010,2,94024,,,1,0,0,1
2010-Q2,2010,2,94025,,,1,0,0,1
2010-Q2,2010,2,94115,,,1,0,0,1
2010-Q2,2010,2,94301,,,1,0,0,1
2010-Q2,2010,2,94304,,,2,0,0,2
2010-Q2,2010,2,94526,,,1,0,0,1
2010-Q2,2010,2,94563,,,1,0,0,1
2010-Q2,2010,2,94605,,,1,0,0,1
2010-Q2,2010,2,95070,,,1,0,0,1
2010-Q2,2010,2,95501,,,1,0,0,1
2010-Q3,2010,3,90049,,,0,1,0,1
2010-Q3,2010,3,90064,,,1,0,0,1
2010-Q3,2010,3,90067,,,1,0,0,1
2010-Q3,2010,3,90277,,,0,1,0,1
2010-Q3,2010,3,91307,,,1,0,0,1
2010-Q3,2010,3,92201,,,1,0,0,1
2010-Q3,2010,3,93101,,,1,0,0,1
2010-Q3,2010,3,94040,,,1,0,0,1
2010-Q3,2010,3,94062,,,1,0,0,1
2010-Q3,2010,3,94102,,,1,0,0,1
2010-Q3,2010,3,94116,,,1,0,0,1
2010-Q3,2010,3,94304,,,2,0,0,2
2010-Q3,2010,3,94904,,,1,0,0,1
2010-Q3,2010,3,94957,,,1,0,0,1
2010-Q4,2010,4,90024,,,1,0,0,1
2010-Q4,2010,4,90025,,,0,1,0,1
2010-Q4,2010,4,90245,,,1,0,0,1
2010-Q4,2010,4,90266,,,1,0,0,1
2010-Q4,2010,4,90274,,,1,0,0,1
2010-Q4,2010,4,90402,,,0,1,0,1
2010-Q4,2010,4,90509,,,0,0,10,10
2010-Q4,2010,4,91436,,,1,0,0,1
2010-Q4,2010,4,92618,,,1,0,0,1
2010-Q4,2010,4,92660,,,0,1,0,1
2010-Q4,2010,4,93923,,,1,0,0,1
2010-Q4,2010,4,94022,,,2,0,0,2
2010-Q4,2010,4,94025,,,0,0,1,1
2010-Q4,2010,4,94044,,,1,0,0,1
2010-Q4,2010,4,94303,,,1,0,0,1
2010-Q4,2010,4,94403,,,1,0,0,1
2010-Q4,2010,4,94507,,,1,0,0,1
2010-Q4,2010,4,94563,,,1,0,0,1
2010-Q4,2010,4,94705,,,1,0,0,1
2010-Q4,2010,4,95014,,,2,0,0,2
2010-Q4,2010,4,95033,,,1,0,0,1
2011-Q1,2011,1,90004,,,0,0,1,1
2011-Q1,2011,1,90005,,,0,0,1,1
2011-Q1,2011,1,90012,,,0,0,1,1
2011-Q1,2011,1,90014,,,0,0,1,1
2011-Q1,2011,1,90019,,,0,0,2,2
2011-Q1,2011,1,90020,,,0,0,1,1
2011-Q1,2011,1,90021,,,0,0,1,1
2011-Q1,2011,1,90024,,,0,0,2,2
2011-Q1,2011,1,90027,,,0,0,3,3
2011-Q1,2011,1,90028,,,0,0,1,1
2011-Q1,2011,1,90045,,,5,0,0,5
2011-Q1,2011,1,90046,,,0,0,2,2
2011-Q1,2011,1,90048,,,0,0,3,3
2011-Q1,2011,1,90049,,,1,1,5,7
2011-Q1,2011,1,90064,,,1,0,1,2
2011-Q1,2011,1,90065,,,0,0,1,1
2011-Q1,2011,1,90068,,,0,0,1,1
2011-Q1,2011,1,90209,,,0,0,1,1
2011-Q1,2011,1,90210,,,0,0,1,1
2011-Q1,2011,1,90212,,,0,0,2,2
2011-Q1,2011,1,90230,,,1,0,1,2
2011-Q1,2011,1,90242,,,0,0,1,1
2011-Q1,2011,1,90245,,,0,0,1,1
2011-Q1,2011,1,90250,,,1,0,0,1
2011-Q1,2011,1,90265,,,1,0,0,1
2011-Q1,2011,1,90266,,,1,0,1,2
2011-Q1,2011,1,90272,,,0,0,2,2
2011-Q1,2011,1,90277,,,3,0,0,3
2011-Q1,2011,1,90278,,,0,0,1,1
2011-Q1,2011,1,90292,,,0,0,2,2
2011-Q1,2011,1,90401,,,0,0,1,1
2011-Q1,2011,1,90402,,,0,0,2,2
2011-Q1,2011,1,90403,,,2,0,0,2
2011-Q1,2011,1,90404,,,0,0,1,1
2011-Q1,2011,1,90405,,,3,1,1,5
2011-Q1,2011,1,90501,,,0,0,1,1
2011-Q1,2011,1,90503,,,0,0,1,1
2011-Q1,2011,1,90504,,,0,0,1,1
2011-Q1,2011,1,90604,,,0,0,1,1
2011-Q1,2011,1,90630,,,0,0,3,3
2011-Q1,2011,1,90638,,,0,0,2,2
2011-Q1,2011,1,90703,,,0,0,1,1
2011-Q1,2011,1,90713,,,0,0,1,1
2011-Q1,2011,1,90731,,,0,0,1,1
2011-Q1,2011,1,90740,,,0,0,1,1
2011-Q1,2011,1,90803,,,0,0,1,1
2011-Q1,2011,1,90807,,,0,0,1,1
2011-Q1,2011,1,90810,,,0,0,1,1
2011-Q1,2011,1,91001,,,0,0,1,1
2011-Q1,2011,1,91011,,,0,0,1,1
2011-Q1,2011,1,91016,,,0,0,2,2
2011-Q1,2011,1,91030,,,0,0,1,1
2011-Q1,2011,1,91042,,,0,0,1,1
2011-Q1,2011,1,91105,,,0,0,1,1
2011-Q1,2011,1,91106,,,0,0,1,1
2011-Q1,2011,1,91108,,,1,0,1,2
2011-Q1,2011,1,91204,,,0,0,2,2
2011-Q1,2011,1,91206,,,0,0,1,1
2011-Q1,2011,1,91208,,,1,0,0,1
2011-Q1,2011,1,91301,,,0,0,1,1
2011-Q1,2011,1,91304,,,0,0,1,1
2011-Q1,2011,1,91316,,,0,0,1,1
2011-Q1,2011,1,91320,,,0,0,2,2
2011-Q1,2011,1,91335,,,0,0,1,1
2011-Q1,2011,1,91342,,,0,0,1,1
2011-Q1,2011,1,91343,,,1,0,0,1
2011-Q1,2011,1,91354,,,0,0,1,1
2011-Q1,2011,1,91360,,,0,0,4,4
2011-Q1,2011,1,91361,,,0,0,2,2
2011-Q1,2011,1,91367,,,1,0,0,1
2011-Q1,2011,1,91384,,,0,0,1,1
2011-Q1,2011,1,91403,,,1,0,2,3
2011-Q1,2011,1,91436,,,0,0,1,1
2011-Q1,2011,1,91505,,,1,0,0,1
2011-Q1,2011,1,91506,,,1,0,0,1
2011-Q1,2011,1,91602,,,0,0,1,1
2011-Q1,2011,1,91604,,,2,0,0,2
2011-Q1,2011,1,91605,,,0,0,1,1
2011-Q1,2011,1,91710,,,0,0,1,1
2011-Q1,2011,1,91741,,,0,0,1,1
2011-Q1,2011,1,91750,,,0,0,1,1
2011-Q1,2011,1,91762,,,0,0,1,1
2011-Q1,2011,1,91764,,,0,0,3,3
2011-Q1,2011,1,91765,,,0,0,1,1
2011-Q1,2011,1,91773,,,0,0,1,1
2011-Q1,2011,1,91775,,,1,0,1,2
2011-Q1,2011,1,91901,,,0,0,1,1
2011-Q1,2011,1,91902,,,0,0,1,1
2011-Q1,2011,1,91905,,,0,0,1,1
2011-Q1,2011,1,91941,,,1,0,1,2
2011-Q1,2011,1,91942,,,0,0,1,1
2011-Q1,2011,1,92009,,,0,0,1,1
2011-Q1,2011,1,92011,,,0,0,2,2
2011-Q1,2011,1,92014,,,1,0,1,2
2011-Q1,2011,1,92019,,,2,0,0,2
2011-Q1,2011,1,92024,,,1,0,1,2
2011-Q1,2011,1,92028,,,0,0,1,1
2011-Q1,2011,1,92029,,,1,0,1,2
2011-Q1,2011,1,92036,,,0,0,1,1
2011-Q1,2011,1,92037,,,1,0,3,4
2011-Q1,2011,1,92040,,,0,0,1,1
2011-Q1,2011,1,92054,,,1,0,0,1
2011-Q1,2011,1,92056,,,1,0,2,3
2011-Q1,2011,1,92064,,,0,0,1,1
2011-Q1,2011,1,92067,,,0,0,2,2
2011-Q1,2011,1,92075,,,0,0,2,2
2011-Q1,2011,1,92078,,,0,0,1,1
2011-Q1,2011,1,92084,,,0,0,1,1
2011-Q1,2011,1,92101,,,0,0,1,1
2011-Q1,2011,1,92103,,,1,0,0,1
