period,year,quarter,county,chargers,zev_sales
2022-Q3,2022,3,Calaveras,23,26
2022-Q3,2022,3,Colusa,34,6
2022-Q3,2022,3,Contra Costa,1495,2702
2022-Q3,2022,3,Del Norte,39,1
2022-Q3,2022,3,El Dorado,194,282
2022-Q3,2022,3,Fresno,1158,719
2022-Q3,2022,3,Glenn,14,10
2022-Q3,2022,3,Humboldt,150,82
2022-Q3,2022,3,Imperial,45,79
2022-Q3,2022,3,Inyo,49,14
2022-Q3,2022,3,Kern,646,557
2022-Q3,2022,3,Kings,176,58
2022-Q3,2022,3,Lake,15,28
2022-Q3,2022,3,Lassen,16,3
2022-Q3,2022,3,Los Angeles,25685,20265
2022-Q3,2022,3,Madera,161,70
2022-Q3,2022,3,Marin,933,827
2022-Q3,2022,3,Mariposa,33,6
2022-Q3,2022,3,Mendocino,200,45
2022-Q3,2022,3,Merced,177,125
2022-Q3,2022,3,Modoc,12,0
2022-Q3,2022,3,Mono,38,8
2022-Q3,2022,3,Monterey,394,376
2022-Q3,2022,3,Napa,391,224
2022-Q3,2022,3,Nevada,161,104
2022-Q3,2022,3,Orange,5214,9383
2022-Q3,2022,3,Placer,425,853
2022-Q3,2022,3,Plumas,7,3
2022-Q3,2022,3,Riverside,1508,3550
2022-Q3,2022,3,Sacramento,1756,1912
2022-Q3,2022,3,San Benito,43,113
2022-Q3,2022,3,San Bernardino,1615,2856
2022-Q3,2022,3,San Diego,7358,6880
2022-Q3,2022,3,San Francisco,1436,1610
2022-Q3,2022,3,San Joaquin,612,986
2022-Q3,2022,3,San Luis Obispo,616,363
2022-Q3,2022,3,San Mateo,4436,3765
2022-Q3,2022,3,Santa Barbara,504,557
2022-Q3,2022,3,Santa Clara,16227,6913
2022-Q3,2022,3,Santa Cruz,345,360
2022-Q3,2022,3,Shasta,138,98
2022-Q3,2022,3,Sierra,1,2
2022-Q3,2022,3,Siskiyou,67,17
2022-Q3,2022,3,Solano,473,596
2022-Q3,2022,3,Sonoma,794,715
2022-Q3,2022,3,Stanislaus,171,355
2022-Q3,2022,3,Sutter,27,67
2022-Q3,2022,3,Tehama,91,16
2022-Q3,2022,3,Trinity,14,1
2022-Q3,2022,3,Tulare,212,186
2022-Q3,2022,3,Tuolumne,60,31
2022-Q3,2022,3,Ventura,810,1678
2022-Q3,2022,3,Yolo,398,277
2022-Q3,2022,3,Yuba,59,47
2022-Q4,2022,4,Alameda,4430,5386
2022-Q4,2022,4,Alpine,6,3
2022-Q4,2022,4,Amador,34,18
2022-Q4,2022,4,Butte,146,121
2022-Q4,2022,4,Calaveras,25,26
2022-Q4,2022,4,Colusa,34,9
2022-Q4,2022,4,Contra Costa,1503,3468
2022-Q4,2022,4,Del Norte,39,4
2022-Q4,2022,4,El Dorado,189,351
2022-Q4,2022,4,Fresno,1291,800
2022-Q4,2022,4,Glenn,14,7
2022-Q4,2022,4,Humboldt,154,92
2022-Q4,2022,4,Imperial,49,68
2022-Q4,2022,4,Inyo,48,17
2022-Q4,2022,4,Kern,691,595
2022-Q4,2022,4,Kings,410,58
2022-Q4,2022,4,Lake,14,27
2022-Q4,2022,4,Lassen,16,5
2022-Q4,2022,4,Los Angeles,27015,25456
2022-Q4,2022,4,Madera,190,97
2022-Q4,2022,4,Marin,1027,1073
2022-Q4,2022,4,Mariposa,46,15
2022-Q4,2022,4,Mendocino,186,63
2022-Q4,2022,4,Merced,135,143
2022-Q4,2022,4,Modoc,12,1
2022-Q4,2022,4,Mono,38,17
2022-Q4,2022,4,Monterey,424,462
