period,year,quarter,county,fuel_type,sales
2012-Q2,2012,2,Merced,PHEV,3
2012-Q2,2012,2,Monterey,PHEV,16
2012-Q2,2012,2,Napa,Electric,1
2012-Q2,2012,2,Napa,PHEV,16
2012-Q2,2012,2,Nevada,PHEV,4
2012-Q2,2012,2,Orange,Electric,27
2012-Q2,2012,2,Orange,PHEV,648
2012-Q2,2012,2,Out Of State,Electric,6
2012-Q2,2012,2,Out Of State,PHEV,6
2012-Q2,2012,2,Placer,Electric,1
2012-Q2,2012,2,Placer,PHEV,12
2012-Q2,2012,2,Plumas,PHEV,1
2012-Q2,2012,2,Riverside,Electric,9
2012-Q2,2012,2,Riverside,PHEV,101
2012-Q2,2012,2,Sacramento,Electric,9
2012-Q2,2012,2,Sacramento,PHEV,35
2012-Q2,2012,2,San Benito,PHEV,6
2012-Q2,2012,2,San Bernardino,Electric,13
2012-Q2,2012,2,San Bernardino,PHEV,78
2012-Q2,2012,2,San Diego,Electric,52
2012-Q2,2012,2,San Diego,PHEV,177
2012-Q2,2012,2,San Francisco,Electric,10
2012-Q2,2012,2,San Francisco,PHEV,68
2012-Q2,2012,2,San Joaquin,Electric,1
2012-Q2,2012,2,San Joaquin,PHEV,10
2012-Q2,2012,2,San Luis Obispo,Electric,2
2012-Q2,2012,2,San Luis Obispo,PHEV,7
2012-Q2,2012,2,San Mateo,Electric,26
2012-Q2,2012,2,San Mateo,PHEV,114
2012-Q2,2012,2,Santa Barbara,Electric,1
2012-Q2,2012,2,Santa Barbara,PHEV,20
2012-Q2,2012,2,Santa Clara,Electric,90
2012-Q2,2012,2,Santa Clara,PHEV,428
2012-Q2,2012,2,Santa Cruz,Electric,2
2012-Q2,2012,2,Santa Cruz,PHEV,24
2012-Q2,2012,2,Shasta,Electric,3
2012-Q2,2012,2,Shasta,PHEV,1
2012-Q2,2012,2,Siskiyou,PHEV,1
2012-Q2,2012,2,Solano,PHEV,24
2012-Q2,2012,2,Sonoma,Electric,9
2012-Q2,2012,2,Sonoma,PHEV,34
2012-Q2,2012,2,Stanislaus,Electric,1
2012-Q2,2012,2,Stanislaus,PHEV,3
2012-Q2,2012,2,Sutter,PHEV,2
2012-Q2,2012,2,Trinity,PHEV,1
2012-Q2,2012,2,Tulare,Electric,3
2012-Q2,2012,2,Tulare,PHEV,5
2012-Q2,2012,2,Ventura,Electric,6
2012-Q2,2012,2,Ventura,PHEV,88
2012-Q2,2012,2,Yolo,Electric,2
2012-Q2,2012,2,Yolo,PHEV,14
2012-Q2,2012,2,Yuba,Electric,2
